TNAME	SUBKINGDOM	INFRAKINGDOM	SUPERPHYLUM	PHYLUM	SUBPHYLUM	INFRAPHYLUM	SUPERCLASS	CLASS	SUBCLASS	INFRACLASS	SUPERORDER	ORDER	SUBORDER	INFRAORDER	SUPERFAMILY	FAMILY	SUBFAMILY	TRIBE	SUBTRIBE	GENUS	SPECIES	NUMOCC	otufin	otufin2
HETEROCLOEON	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	EPHEMEROPTERA	PISCIFORMA	NA	NA	BAETIDAE	NA	NA	NA	HETEROCLOEON	NA	12	HETEROCLOEON	HETEROCLOEON
ISWAEON	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	EPHEMEROPTERA	PISCIFORMA	NA	NA	BAETIDAE	NA	NA	NA	ISWAEON	NA	6	ISWAEON	ISWAEON
PLAUDITUS.CINGULATUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	EPHEMEROPTERA	PISCIFORMA	NA	NA	BAETIDAE	NA	NA	NA	PLAUDITUS	PLAUDITUS.CINGULATUS	16	PLAUDITUS.CINGULATUS	PLAUDITUS
PLAUDITUS.DUBIUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	EPHEMEROPTERA	PISCIFORMA	NA	NA	BAETIDAE	NA	NA	NA	PLAUDITUS	PLAUDITUS.DUBIUS	14	PLAUDITUS.DUBIUS	PLAUDITUS
PLAUDITUS.PUNCTIVENTRIS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	EPHEMEROPTERA	PISCIFORMA	NA	NA	BAETIDAE	NA	NA	NA	PLAUDITUS	PLAUDITUS.PUNCTIVENTRIS	4	PLAUDITUS.PUNCTIVENTRIS	PLAUDITUS
PLAUDITUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	EPHEMEROPTERA	PISCIFORMA	NA	NA	BAETIDAE	NA	NA	NA	PLAUDITUS	NA	406	PLAUDITUS	PLAUDITUS
PSEUDOCLOEON	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	EPHEMEROPTERA	PISCIFORMA	NA	NA	BAETIDAE	NA	NA	NA	PSEUDOCLOEON	NA	52	PSEUDOCLOEON	PSEUDOCLOEON
BAETIDAE	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	EPHEMEROPTERA	PISCIFORMA	NA	NA	BAETIDAE	NA	NA	NA	NA	NA	419	BAETIDAE	NA
METRETOPODIDAE	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	EPHEMEROPTERA	PISCIFORMA	NA	NA	METRETOPODIDAE	NA	NA	NA	NA	NA	2	METRETOPODIDAE	METRETOPODIDAE
SIPHLONURIDAE	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	EPHEMEROPTERA	PISCIFORMA	NA	NA	SIPHLONURIDAE	NA	NA	NA	NA	NA	11	SIPHLONURIDAE	SIPHLONURIDAE
AESHNA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ANISOPTERA	NA	NA	AESHNIDAE	NA	NA	NA	AESHNA	NA	79	AESHNA	AESHNA
ANAX	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ANISOPTERA	NA	NA	AESHNIDAE	NA	NA	NA	ANAX	NA	3	ANAX	ANAX
BASIAESCHNA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ANISOPTERA	NA	NA	AESHNIDAE	NA	NA	NA	BASIAESCHNA	NA	16	BASIAESCHNA	BASIAESCHNA
BOYERIA.GRAFIANA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ANISOPTERA	NA	NA	AESHNIDAE	NA	NA	NA	BOYERIA	BOYERIA.GRAFIANA	114	BOYERIA.GRAFIANA	BOYERIA.GRAFIANA
BOYERIA.VINOSA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ANISOPTERA	NA	NA	AESHNIDAE	NA	NA	NA	BOYERIA	BOYERIA.VINOSA	140	BOYERIA.VINOSA	BOYERIA.VINOSA
BOYERIA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ANISOPTERA	NA	NA	AESHNIDAE	NA	NA	NA	BOYERIA	NA	169	BOYERIA	NA
AESHNIDAE	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ANISOPTERA	NA	NA	AESHNIDAE	NA	NA	NA	NA	NA	2	AESHNIDAE	NA
CORDULEGASTER	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ANISOPTERA	NA	NA	CORDULEGASTRIDAE	NA	NA	NA	CORDULEGASTER	NA	136	CORDULEGASTER	CORDULEGASTER
MACROMIA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ANISOPTERA	NA	NA	CORDULIIDAE	MACROMIINAE	NA	NA	MACROMIA	NA	1	MACROMIA	CORDULIIDAE
CORDULIIDAE	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ANISOPTERA	NA	NA	CORDULIIDAE	NA	NA	NA	NA	NA	16	CORDULIIDAE	CORDULIIDAE
ARIGOMPHUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ANISOPTERA	NA	NA	GOMPHIDAE	NA	NA	NA	ARIGOMPHUS	NA	4	ARIGOMPHUS	ARIGOMPHUS
DROMOGOMPHUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ANISOPTERA	NA	NA	GOMPHIDAE	NA	NA	NA	DROMOGOMPHUS	NA	5	DROMOGOMPHUS	DROMOGOMPHUS
HAGENIUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ANISOPTERA	NA	NA	GOMPHIDAE	NA	NA	NA	HAGENIUS	NA	2	HAGENIUS	HAGENIUS
LANTHUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ANISOPTERA	NA	NA	GOMPHIDAE	NA	NA	NA	LANTHUS	NA	190	LANTHUS	LANTHUS
OPHIOGOMPHUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ANISOPTERA	NA	NA	GOMPHIDAE	NA	NA	NA	OPHIOGOMPHUS	NA	96	OPHIOGOMPHUS	OPHIOGOMPHUS
STYLOGOMPHUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ANISOPTERA	NA	NA	GOMPHIDAE	NA	NA	NA	STYLOGOMPHUS	NA	10	STYLOGOMPHUS	STYLOGOMPHUS
GOMPHIDAE	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ANISOPTERA	NA	NA	GOMPHIDAE	NA	NA	NA	NA	NA	303	GOMPHIDAE	NA
LIBELLULIDAE	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ANISOPTERA	NA	NA	LIBELLULIDAE	NA	NA	NA	NA	NA	8	LIBELLULIDAE	LIBELLULIDAE
CALOPTERYX	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ZYGOPTERA	NA	NA	CALOPTERYGIDAE	NA	NA	NA	CALOPTERYX	NA	153	CALOPTERYX	CALOPTERYX
AMPHIAGRION	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ZYGOPTERA	NA	NA	COENAGRIONIDAE	NA	NA	NA	AMPHIAGRION	NA	2	AMPHIAGRION	AMPHIAGRION
ARGIA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ZYGOPTERA	NA	NA	COENAGRIONIDAE	NA	NA	NA	ARGIA	NA	29	ARGIA	ARGIA
CHROMAGRION	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ZYGOPTERA	NA	NA	COENAGRIONIDAE	NA	NA	NA	CHROMAGRION	NA	11	CHROMAGRION	CHROMAGRION
COENAGRION.ENNALAGMA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ZYGOPTERA	NA	NA	COENAGRIONIDAE	NA	NA	NA	COENAGRION	COENAGRION.ENNALAGMA	29	COENAGRION.ENNALAGMA	COENAGRION.ENNALAGMA
ISCHNURA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ZYGOPTERA	NA	NA	COENAGRIONIDAE	NA	NA	NA	ISCHNURA	NA	19	ISCHNURA	ISCHNURA
NEHALENNIA	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ZYGOPTERA	NA	NA	COENAGRIONIDAE	NA	NA	NA	NEHALENNIA	NA	5	NEHALENNIA	NEHALENNIA
COENAGRIONIDAE	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ZYGOPTERA	NA	NA	COENAGRIONIDAE	NA	NA	NA	NA	NA	86	COENAGRIONIDAE	NA
LESTES	BILATERIA	PROTOSTOMIA	ECDYSOZOA	ARTHROPODA	HEXAPODA	NA	NA	INSECTA	PTERYGOTA	PALAEOPTERA	NA	ODONATA	ZYGOPTERA	NA	NA	LESTIDAE	NA	NA	NA	LESTES	NA	1	LESTES	LESTES
GORDIUS	BILATERIA	PROTOSTOMIA	ECDYSOZOA	NEMATOMORPHA	NA	NA	NA	NA	NA	NA	NA	GORDIOIDEA	NA	NA	NA	GORDIIDAE	NA	NA	NA	GORDIUS	NA	90	GORDIUS	GORDIUS
ERPOBDELLIDAE	BILATERIA	PROTOSTOMIA	LOPHOZOA	ANNELIDA	CLITELLATA	NA	NA	HIRUDINEA	HIRUDINEA	EUHIRUDINEA	NA	ARHYNCHOBDELLIDA	ERPOBDELLIFORMES	NA	NA	ERPOBDELLIDAE	NA	NA	NA	NA	NA	20	ERPOBDELLIDAE	ERPOBDELLIDAE
MACROBDELLA	BILATERIA	PROTOSTOMIA	LOPHOZOA	ANNELIDA	CLITELLATA	NA	NA	HIRUDINEA	HIRUDINEA	EUHIRUDINEA	NA	ARHYNCHOBDELLIDA	NA	NA	NA	HIRUDINIDAE	MACROBDELLINAE	NA	NA	MACROBDELLA	NA	1	MACROBDELLA	MACROBDELLA
GLOSSIPHONIIDAE	BILATERIA	PROTOSTOMIA	LOPHOZOA	ANNELIDA	CLITELLATA	NA	NA	HIRUDINEA	HIRUDINEA	EUHIRUDINEA	NA	RHYNCHOBDELLIDA	NA	NA	NA	GLOSSIPHONIIDAE	NA	NA	NA	NA	NA	37	GLOSSIPHONIIDAE	GLOSSIPHONIIDAE
PISCICOLIDAE	BILATERIA	PROTOSTOMIA	LOPHOZOA	ANNELIDA	CLITELLATA	NA	NA	HIRUDINEA	HIRUDINEA	EUHIRUDINEA	NA	RHYNCHOBDELLIDA	NA	NA	NA	PISCICOLIDAE	NA	NA	NA	NA	NA	1	PISCICOLIDAE	PISCICOLIDAE
LUMBRICINA	BILATERIA	PROTOSTOMIA	LOPHOZOA	ANNELIDA	CLITELLATA	NA	NA	OLIGOCHAETA	OLIGOCHAETA	NA	NA	HAPLOTAXIDA	LUMBRICINA	NA	NA	NA	NA	NA	NA	NA	NA	152	LUMBRICINA	LUMBRICINA
ENCHYTRAEIDAE	BILATERIA	PROTOSTOMIA	LOPHOZOA	ANNELIDA	CLITELLATA	NA	NA	OLIGOCHAETA	OLIGOCHAETA	NA	NA	HAPLOTAXIDA	TUBIFICINA	NA	NA	ENCHYTRAEIDAE	NA	NA	NA	NA	NA	367	ENCHYTRAEIDAE	ENCHYTRAEIDAE
NAIDIDAE	BILATERIA	PROTOSTOMIA	LOPHOZOA	ANNELIDA	CLITELLATA	NA	NA	OLIGOCHAETA	OLIGOCHAETA	NA	NA	HAPLOTAXIDA	TUBIFICINA	NA	NA	NAIDIDAE	NA	NA	NA	NA	NA	376	NAIDIDAE	NAIDIDAE
LUMBRICULIDAE	BILATERIA	PROTOSTOMIA	LOPHOZOA	ANNELIDA	CLITELLATA	NA	NA	OLIGOCHAETA	OLIGOCHAETA	NA	NA	LUMBRICULIDA	NA	NA	NA	LUMBRICULIDAE	NA	NA	NA	NA	NA	671	LUMBRICULIDAE	LUMBRICULIDAE
MUSCULIUM	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	BIVALVIA	HETERODONTA	NA	NA	VENEROIDA	NA	NA	CORBICULOIDEA	PISIDIIDAE	NA	NA	NA	MUSCULIUM	NA	8	MUSCULIUM	MUSCULIUM
PISIDIUM	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	BIVALVIA	HETERODONTA	NA	NA	VENEROIDA	NA	NA	CORBICULOIDEA	PISIDIIDAE	NA	NA	NA	PISIDIUM	NA	269	PISIDIUM	PISIDIUM
SPHAERIUM	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	BIVALVIA	HETERODONTA	NA	NA	VENEROIDA	NA	NA	CORBICULOIDEA	PISIDIIDAE	NA	NA	NA	SPHAERIUM	NA	44	SPHAERIUM	SPHAERIUM
ALASMIDONTA.UNDULATA	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	BIVALVIA	PALAEOHETERODONTA	NA	NA	UNIONOIDA	NA	NA	NA	UNIONIDAE	NA	NA	NA	ALASMIDONTA	ALASMIDONTA.UNDULATA	3	ALASMIDONTA.UNDULATA	ALASMIDONTA.UNDULATA
ELLIPTIO.COMPLANATA	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	BIVALVIA	PALAEOHETERODONTA	NA	NA	UNIONOIDA	NA	NA	NA	UNIONIDAE	NA	NA	NA	ELLIPTIO	ELLIPTIO.COMPLANATA	2	ELLIPTIO.COMPLANATA	ELLIPTIO.COMPLANATA
LAMPSILIS.RADIATA	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	BIVALVIA	PALAEOHETERODONTA	NA	NA	UNIONOIDA	NA	NA	NA	UNIONIDAE	NA	NA	NA	LAMPSILIS	LAMPSILIS.RADIATA	2	LAMPSILIS.RADIATA	LAMPSILIS.RADIATA
LASMIGONA.COMPRESSA	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	BIVALVIA	PALAEOHETERODONTA	NA	NA	UNIONOIDA	NA	NA	NA	UNIONIDAE	NA	NA	NA	LASMIGONA	LASMIGONA.COMPRESSA	1	LASMIGONA.COMPRESSA	LASMIGONA.COMPRESSA
PYGANODON.CATARACTA	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	BIVALVIA	PALAEOHETERODONTA	NA	NA	UNIONOIDA	NA	NA	NA	UNIONIDAE	NA	NA	NA	PYGANODON	PYGANODON.CATARACTA	2	PYGANODON.CATARACTA	PYGANODON.CATARACTA
PYGANODON.GRANDIS	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	BIVALVIA	PALAEOHETERODONTA	NA	NA	UNIONOIDA	NA	NA	NA	UNIONIDAE	NA	NA	NA	PYGANODON	PYGANODON.GRANDIS	1	PYGANODON.GRANDIS	PYGANODON.GRANDIS
UNIONIDAE	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	BIVALVIA	PALAEOHETERODONTA	NA	NA	UNIONOIDA	NA	NA	NA	UNIONIDAE	NA	NA	NA	NA	NA	1	UNIONIDAE	NA
CAMPELOMA.DECISA	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	PROSOBRANCHIA	NA	NA	ARCHITAENIOGLOSSA	NA	NA	NA	VIVIPARIDAE	NA	NA	NA	CAMPELOMA	CAMPELOMA.DECISA	3	CAMPELOMA.DECISA	CAMPELOMA.DECISA
CIPANGOPALUDINA.CHINENSIS	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	PROSOBRANCHIA	NA	NA	ARCHITAENIOGLOSSA	NA	NA	NA	VIVIPARIDAE	NA	NA	NA	CIPANGOPALUDINA	CIPANGOPALUDINA.CHINENSIS	3	CIPANGOPALUDINA.CHINENSIS	CIPANGOPALUDINA.CHINENSIS
FERRISSIA.FRAGILIS	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	BASOMMATOPHORA	NA	NA	NA	ANCYLIDAE	NA	NA	NA	FERRISSIA	FERRISSIA.FRAGILIS	28	FERRISSIA.FRAGILIS	FERRISSIA.FRAGILIS
FERRISSIA.PARALLELA	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	BASOMMATOPHORA	NA	NA	NA	ANCYLIDAE	NA	NA	NA	FERRISSIA	FERRISSIA.PARALLELA	22	FERRISSIA.PARALLELA	FERRISSIA.PARALLELA
FERRISSIA.RIVULARIS	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	BASOMMATOPHORA	NA	NA	NA	ANCYLIDAE	NA	NA	NA	FERRISSIA	FERRISSIA.RIVULARIS	229	FERRISSIA.RIVULARIS	FERRISSIA.RIVULARIS
FERRISSIA.WALKERI	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	BASOMMATOPHORA	NA	NA	NA	ANCYLIDAE	NA	NA	NA	FERRISSIA	FERRISSIA.WALKERI	2	FERRISSIA.WALKERI	FERRISSIA.WALKERI
FERRISSIA	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	BASOMMATOPHORA	NA	NA	NA	ANCYLIDAE	NA	NA	NA	FERRISSIA	NA	96	FERRISSIA	NA
ANCYLIDAE	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	BASOMMATOPHORA	NA	NA	NA	ANCYLIDAE	NA	NA	NA	NA	NA	6	ANCYLIDAE	NA
ACELLA.HALDEMANI	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	BASOMMATOPHORA	NA	NA	NA	LYMNAEIDAE	NA	NA	NA	ACELLA	ACELLA.HALDEMANI	1	ACELLA.HALDEMANI	ACELLA.HALDEMANI
FOSSARIA	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	BASOMMATOPHORA	NA	NA	NA	LYMNAEIDAE	NA	NA	NA	FOSSARIA	NA	80	FOSSARIA	FOSSARIA
PSEUDOSUCCINEA.COLUMELLA	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	BASOMMATOPHORA	NA	NA	NA	LYMNAEIDAE	NA	NA	NA	PSEUDOSUCCINEA	PSEUDOSUCCINEA.COLUMELLA	6	PSEUDOSUCCINEA.COLUMELLA	PSEUDOSUCCINEA.COLUMELLA
STAGNICOLA.ELODES	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	BASOMMATOPHORA	NA	NA	NA	LYMNAEIDAE	NA	NA	NA	STAGNICOLA	STAGNICOLA.ELODES	1	STAGNICOLA.ELODES	STAGNICOLA.ELODES
LYMNAEIDAE	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	BASOMMATOPHORA	NA	NA	NA	LYMNAEIDAE	NA	NA	NA	NA	NA	13	LYMNAEIDAE	NA
APLEXA.ELONGATA	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	BASOMMATOPHORA	NA	NA	NA	PHYSIDAE	NA	NA	NA	APLEXA	APLEXA.ELONGATA	1	APLEXA.ELONGATA	APLEXA.ELONGATA
PHYSA	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	BASOMMATOPHORA	NA	NA	NA	PHYSIDAE	NA	NA	NA	PHYSA	NA	142	PHYSA	PHYSA
PHYSELLA	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	BASOMMATOPHORA	NA	NA	NA	PHYSIDAE	NA	NA	NA	PHYSELLA	NA	98	PHYSELLA	PHYSELLA
PHYSIDAE	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	BASOMMATOPHORA	NA	NA	NA	PHYSIDAE	NA	NA	NA	NA	NA	9	PHYSIDAE	NA
GYRAULUS	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	BASOMMATOPHORA	NA	NA	NA	PLANORBIDAE	NA	NA	NA	GYRAULUS	NA	40	GYRAULUS	GYRAULUS
HELISOMA	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	BASOMMATOPHORA	NA	NA	NA	PLANORBIDAE	NA	NA	NA	HELISOMA	NA	50	HELISOMA	HELISOMA
PLANORBULA.ARMIGERA	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	BASOMMATOPHORA	NA	NA	NA	PLANORBIDAE	NA	NA	NA	PLANORBULA	PLANORBULA.ARMIGERA	1	PLANORBULA.ARMIGERA	PLANORBULA.ARMIGERA
PLANORBIDAE	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	BASOMMATOPHORA	NA	NA	NA	PLANORBIDAE	NA	NA	NA	NA	NA	3	PLANORBIDAE	NA
VALVATA.TRICARINATA	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	HETEROSTROPHA	NA	NA	NA	VALVATIDAE	NA	NA	NA	VALVATA	VALVATA.TRICARINATA	4	VALVATA.TRICARINATA	VALVATA.TRICARINATA
AMNICOLA	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	NEOTAENIOGLOSSA	NA	NA	NA	HYDROBIIDAE	NA	NA	NA	AMNICOLA	NA	15	AMNICOLA	AMNICOLA
SUCCINEIDAE	BILATERIA	PROTOSTOMIA	LOPHOZOA	MOLLUSCA	NA	NA	NA	GASTROPODA	NA	NA	NA	STYLOMMATOPHORA	NA	NA	NA	SUCCINEIDAE	NA	NA	NA	NA	NA	76	SUCCINEIDAE	SUCCINEIDAE
CURA	BILATERIA	PROTOSTOMIA	PLATYZOA	PLATYHELMINTHES	RHABDITOPHORA	NA	NA	TREPAXONEMATA	NA	NA	NA	NEOOPHORA	NA	NA	NA	DUGESIIDAE	NA	NA	NA	CURA	NA	68	CURA	DUGESIIDAE
DUGESIIDAE	BILATERIA	PROTOSTOMIA	PLATYZOA	PLATYHELMINTHES	RHABDITOPHORA	NA	NA	TREPAXONEMATA	NA	NA	NA	NEOOPHORA	NA	NA	NA	DUGESIIDAE	NA	NA	NA	NA	NA	18	DUGESIIDAE	DUGESIIDAE
HYDROLIMAX.GRISEA	BILATERIA	PROTOSTOMIA	PLATYZOA	PLATYHELMINTHES	RHABDITOPHORA	NA	NA	TREPAXONEMATA	NA	NA	NA	NEOOPHORA	NA	NA	NA	PLAGIOSTOMIDAE	NA	NA	NA	HYDROLIMAX	HYDROLIMAX.GRISEA	2	HYDROLIMAX.GRISEA	HYDROLIMAX.GRISEA
PLANARIIDAE	BILATERIA	PROTOSTOMIA	PLATYZOA	PLATYHELMINTHES	RHABDITOPHORA	NA	NA	TREPAXONEMATA	NA	NA	NA	NEOOPHORA	NA	NA	NA	PLANARIIDAE	NA	NA	NA	NA	NA	8	PLANARIIDAE	PLANARIIDAE
SPHAERIIDAE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SPHAERIIDAE	NA	NA	NA	NA	NA	19	SPHAERIIDAE	SPHAERIIDAE
